"id","title","thumbnail_url","organization_name","organization_url","description","topic","year","media","is_featured","featured_order","showcase_home"
"47","Champion | 2025 Johns Hopkins Healthcare Design Competition (Global)","/images/fahmida_with_lal_background.jpeg","Johns Hopkins University & J&J MedTech","https://cbid.bme.jhu.edu/2025/05/01/winners-of-the-2025-johns-hopkins-healthcare-design-competition/","Secured 1st Place – NeoScreenix for the project 'Smart AI System for Early Breast Cancer Screening' at the 2025 Johns Hopkins Healthcare Design Competition, selected from 440 projects across 203 universities and 44 countries in the Digital Health Track; awarded USD 5,000 sponsored by Johnson & Johnson MedTech. Evaluated by final round judges from J&J MedTech, Health Innovation Consultants, and Thermo Fisher Scientific.","Global Competitions","2025","image:/images/fahmida_with_lal_background.jpeg ; image:/images/fahmida_with_car.jpeg","true","1","true"
"57","Best Transformative Business Idea Pitch | IEEE WIE Big Idea Pitch Competition 2026 (Global)","/images/buetieee.png","IEEE Women in Engineering (Global)","https://wie.ieee.org/","Awarded Champion and Best Transformative Business Idea Pitch at the global IEEE WIE Big Idea Pitch Competition 2026, receiving a USD 1,000 grant prize for PinkLifeLine's AI-driven early breast cancer risk prediction framework.","Global Competitions","2026","image:/images/buetieee.png ; image:/images/fahmida_with_lal_background.jpeg","false","","true"
"1","Global Changemaker Fellowship Cohort-4 (Global)","/images/fahmida_with_show_pice.jpeg","Connecting Dreams Foundation (CDF)","https://connecting-dreams.org/","The Global Changemaker Fellowship is a prestigious 6-month program (Sep 2024 - Jun 2025) designed to connect and nurture social change leaders. Selected as one of the 33 Global Fellows from over 7,000 applications across 113+ countries for developing PinkLifeLine, an AI-driven digital health ecosystem for breast cancer care.","Research & Fellowships","2024","image:/images/fahmida_with_show_pice.jpeg ; image:/images/research_1.jpg ; image:/images/fahmida_with_car.jpeg","false","","true"
"4","2025 SIGHPC Immersion Program for SC25 (Global)","/images/fahmida_with_purdue.jpeg","ACM SIGHPC & SC25 Conference","https://sc25.supercomputing.org/students/sighpc-immersion/","Awarded the ACM SIGHPC Immersion Travel Grant (16 Nov 2025 – 21 Nov 2025) to attend SC 2025, the International Conference for High Performance Computing, Networking, Storage, and Analysis, held in St. Louis, Missouri. Organised and fully sponsored by ACM SIGHPC, gaining early exposure to career pathways in computational science and participating in the SC Technical Program.","Research & Fellowships","2025","image:/images/fahmida_with_purdue.jpeg ; youtube:https://youtu.be/0xes6eOvChk?si=i8NVwU5C6QnYGlWz ; image:/images/research_4.jpg","false","","false"
"52","1st Runner Up (2nd Prize) | 2nd ISETS–ESCAP & 3rd ISETS Global Competition on Energy Transition (Global)","","UN-ESCAP & ISETS","https://isets.org/","Achieved 2nd Prize globally in the competition organized by the Institute of Science, Technology and Energy Studies (ISETS) in collaboration with United Nations ESCAP, receiving a fully funded trip to present at the UN ESCAP Headquarters in Bangkok out of 105 projects worldwide.","Global Competitions","2025","","false","","false"
"43","South Asia Divisional 2nd | 2024 ISETS-ESCAP Youth Voice Competition (Global)","","UN-ESCAP & ISETS","https://isets.org/","Team Veni Vidi Vici won 2nd prize in South Asia (out of 77 teams across 300+ applicants globally) at the ISETS Youth Voice Competition 2024, receiving an invitation to the Youth Dialogue at UN ESCAP Headquarters in Bangkok.","Global Competitions","2024","","false","","false"
"35","Best Impact Award | 2023 IEEE WIE Climate Tech Big Idea Pitch Competition (Global)","","IEEE Women in Engineering","https://wie.ieee.org/","Awarded USD 300 for Best Impact Pitch around the globe at the 2023 IEEE WIE Climate Tech Big Idea Pitch Competition for project CarGreen Tech – A climate-positive transport management system.","Global Competitions","2024","","false","","false"
"58","Best Impact Prize | 2024 IEEE WIE Big Idea Pitch Competition (Global)","","IEEE Women in Engineering","https://wie.ieee.org/","Awarded USD 500 for Best Impact Prize at the 2024 IEEE WIE Big Idea Pitch Competition for AI-driven clinical risk screening.","Global Competitions","2024","","false","","false"
"59","Top 50 Global Scholarship | ISCEA Prize Global Case Competition","","International Supply Chain Education Alliance (ISCEA)","https://www.iscea.org/","Awarded USD 770 as a 70% Global Scholarship (Top 50 Global Finish) in the international case competition.","Global Competitions","2024","","false","","false"
"60","Bronze Award | The Queen's Commonwealth Essay Competition 2021 (Global)","","Royal Commonwealth Society","https://www.royalcwsociety.org/","Awarded Bronze at the world's oldest international writing competition for schools, organized by the Royal Commonwealth Society, London.","Writing Competitions","2021","","false","","false"
