"id","title","thumbnail_url","description","presented_in","presented_in_url","year","keywords","is_featured","featured_order","sources"
"7","3D Object Reconstruction from Images","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/multiple_pic_vid_link/fahmida_with_car.jpeg","Reconstructing 3D mesh models from multiple 2D images using computer vision.","Computer Vision Research","https://www.computer.org/","2024","3D Reconstruction, Computer Vision, Machine Learning","true","1","video:https://youtu.be/OBD1d048dl4?si=cv9qY5deJqk74DxS|Demo Clip ; documentation:https://www.researchgate.net/|Model Docs ; github:https://github.com/farhan5384/|Project Repo"
"8","Autonomous Navigation Robot","/wall/fahmida_with_robot.jpeg","A small autonomous robot capable of mapping and obstacle avoidance.","Robotics Lab Project","https://nsac.basis.org.bd/","2023","Robotics, SLAM, Path Planning","true","2","other:https://nsac.basis.org.bd/|Info Page ; github:https://github.com/farhan5384/|Server Repo ; documentation:https://www.researchgate.net/|Technical Docs ; video:https://youtu.be/OBD1d048dl4?si=cv9qY5deJqk74DxS|Video Demo"
"9","Interactive Room Visualization Tool","https://youtu.be/OBD1d048dl4?si=ARQ0OnpZW55VB70H","A real-time 3D room visualization system using custom rendering engine.","Graphics Assignment","https://www.computer.org/","2022","3D Graphics, Rendering, Visualization","false","","github:https://github.com/farhan5384/|Compiler Code ; documentation:https://www.researchgate.net/|Algorithm Docs ; other:https://nsac.basis.org.bd/|External Reference"
"10","Health Monitoring Dashboard","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/multiple_pic_vid_link/mir_mehedi.jpg","A web dashboard for tracking user health metrics like steps and heart rate.","Health Tech Hackathon","https://nsac.basis.org.bd/","2024","Dashboard, Health Data, Web App","true","3","video:https://youtu.be/OBD1d048dl4?si=cv9qY5deJqk74DxS|Physics Demo ; github:https://github.com/farhan5384/|Engine Code ; documentation:https://www.researchgate.net/|Research Article"
"11","AI-based Resume Ranker","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/multiple_pic_vid_link/fahmida_with_car.jpeg","ML model that ranks resumes based on job descriptions.","Machine Learning Course Project","https://www.computer.org/","2023","NLP, Ranking Model, Machine Learning","true","4","github:https://github.com/farhan5384/|Chatbot Source Code ; documentation:https://www.researchgate.net/|NLP Docs ; live_demo:https://nsac.basis.org.bd/|Live Chatbot"
"12","Handwritten Digit Classifier","https://youtu.be/OBD1d048dl4?si=ARQ0OnpZW55VB70H","A neural-network-based MNIST classifier with visualization.","Deep Learning Lab","https://nsac.basis.org.bd/","2024","Neural Network, MNIST, Classification","false","","other:https://nsac.basis.org.bd/|IoT Info Page ; github:https://github.com/farhan5384/|IoT Controller Code ; video:https://youtu.be/OBD1d048dl4?si=cv9qY5deJqk74DxS|Hardware Demo"
"13","Weather Prediction Dashboard","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/multiple_pic_vid_link/mir_mehedi.jpg","Real-time weather forecasting using regression models.","ML Research","https://www.computer.org/","2023","Weather Forecast, Regression, Python","false","","documentation:https://www.researchgate.net/|App Docs ; github:https://github.com/farhan5384/|Project Code ; live_demo:https://nsac.basis.org.bd/|Live App"
"14","E-commerce Inventory Manager","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/multiple_pic_vid_link/fahmida_with_car.jpeg","Inventory and stock tracking web application.","Software Engineering Project","https://nsac.basis.org.bd/","2024","E-commerce, Inventory, Full Stack","true","5","video:https://youtu.be/OBD1d048dl4?si=cv9qY5deJqk74DxS|Style Transfer Demo ; documentation:https://www.researchgate.net/|Deep Learning Docs ; github:https://github.com/farhan5384/|Model Code ; other:https://nsac.basis.org.bd/|Extra Resource"
"15","Basic Compiler Implementation","https://youtu.be/OBD1d048dl4?si=ARQ0OnpZW55VB70H","A simple compiler for arithmetic expressions with lexical and syntax analysis.","Compiler Design Lab","https://www.computer.org/","2022","Compiler, Lexer, Parser","false","","github:https://github.com/farhan5384/|Portfolio Code ; live_demo:https://nsac.basis.org.bd/|Live Portfolio ; documentation:https://www.researchgate.net/|Tech Documentation ; video:https://youtu.be/OBD1d048dl4?si=cv9qY5deJqk74DxS|Preview Video"
"16","Game Physics Simulator","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/multiple_pic_vid_link/mir_mehedi.jpg","A physics engine supporting gravity, collision, and friction.","Game Development Project","https://nsac.basis.org.bd/","2023","Physics Engine, Game Dev, Simulation","false","",""
