"id","title","thumbnail_url","description","abstract","status","award","year","topics","authors","links","media","is_featured","featured_order","venue","external_url","has_demo","demo_url","bibtex"
"1","Seg2Reg-Net: An Explainable AI Analysis of Predictive Limitations in Cattle Weight Estimation","/images/undergrad.jpeg","","","published","","2025","Computer Vision & Imaging, Clinical AI & Deep Learning","Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Arnab Dey ; Debojit Pandit ; Ahanaf Ferdous ; Rakib Islam ; Hasan Ibna Akbar ; Jannatun Noor ; A. B. M. Alim Al Islam","code:https://github.com/fahmidahossain/Seg2Reg-Net ; paper:https://doi.org/10.1145/3777555.3777559 ; video:https://youtu.be/qIXg9vJ6hZM?si=5liTMbMY_VbdWT0r","image:/images/undergrad.jpeg ; youtube:https://youtu.be/qIXg9vJ6hZM?si=5liTMbMY_VbdWT0r","true","4","12th NSysS 2025 (ACM)","https://doi.org/10.1145/3777555.3777559","true","https://youtu.be/qIXg9vJ6hZM?si=5liTMbMY_VbdWT0r",""
"2","CSTRL: Context-Driven Sequential Transfer Learning for Abstractive Radiology Report Summarization","/images/research_1.jpg","","","published","","2025","Clinical NLP & LLMs, Clinical AI & Deep Learning","Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Adnan Ibney Faruq ; Mostafa Rifat Tazwar ; Md Jobayer ; Md. Mehedi Hasan Shawon ; Md Rakibul Hasan","code:https://github.com/fahmidahossain/Report_Summarization ; paper:https://doi.org/10.18653/v1/2025.findings-acl.1360 ; video:https://youtu.be/jyerIT_txG0?si=9RaI6rVtJXlwX0CI","image:/images/research_1.jpg ; youtube:https://youtu.be/jyerIT_txG0?si=9RaI6rVtJXlwX0CI","true","1","ACL 2025 (Findings)","https://doi.org/10.18653/v1/2025.findings-acl.1360","true","https://github.com/fahmidahossain/Report_Summarization",""
"3","CBRS: Cognitive Blood Request System with Bilingual Dataset and Dual-Layer Filtering for Multi-Platform Social Streams","/images/research_1.jpg","","","published","","2026","Clinical NLP & LLMs, LLMs & Multi-Agent","Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Anik Saha|https://github.com/aaniksahaa ; Zia Ul Hassan Abdullah ; Anisa Binte Asad ; K G Subarno Bithi ; A. B. M. Alim Al Islam","code:https://github.com/aaniksahaa/CBRS","image:/images/research_1.jpg","true","2","ACL 2026 (Findings)","","false","",""
"4","Relational Anatomical Reasoning for Anatomically Consistent 3D Brain Tumor Segmentation","/images/research_1.jpg","","","preprint","","2026","Computer Vision & Imaging, Clinical AI & Deep Learning","SM Nuruzzaman Nobel ; Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Maxine Tan ; Mohammad Ali Moni","","image:/images/research_1.jpg","false","999","Under review — IEEE Transactions on Medical Imaging","","false","",""
"5","MedSegNet-X: Hybrid Noise-Enhanced Diffusion based Medical Image Segmentation with ConvNeXt Transformer","/images/research_1.jpg","","","preprint","","2025","Computer Vision & Imaging, Clinical AI & Deep Learning","SM Nuruzzaman Nobel ; Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Md All Moon Tasir ; Asmaa Soliman Al-Moisheer ; Mohammad Ali Moni","","image:/images/research_1.jpg","false","999","Under review — IEEE Transactions on Multimedia","","false","",""
"6","A Diffusion-Driven Intermediate Feature Fusion for Multi-Scale Structured Pattern Segmentation","/images/research_1.jpg","","","preprint","","2025","Computer Vision & Imaging, Clinical AI & Deep Learning","SM Nuruzzaman Nobel ; Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Maxine Tan ; Asmaa Soliman Al-Moisheer ; Mohammad Ali Moni","video:https://youtu.be/WJvr_jstEfU?si=U_D_NUe4qR308Ohz","image:/images/research_1.jpg ; youtube:https://youtu.be/WJvr_jstEfU?si=U_D_NUe4qR308Ohz","true","3","Under review — Artificial Intelligence In Medicine","","true","https://youtu.be/WJvr_jstEfU?si=U_D_NUe4qR308Ohz",""
"7","BIGTNet: Anatomical Relational Reasoning for 3D Brain Tumor Segmentation","/images/research_1.jpg","","","preprint","","2025","Computer Vision & Imaging, Clinical AI & Deep Learning","SM Nuruzzaman Nobel ; Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Maxine Tan ; Asmaa Soliman Al-Moisheer ; Mohammad Ali Moni","","image:/images/research_1.jpg","false","999","Under review — IEEE Transactions on Medical Imaging","","false","",""
"8","PAN-ICA YOLO: Pyramid-Aware Neighbor-Only Inter-Channel Attention with Dense Optical Flow Mid-Fusion for Video Object Localization","/images/research_1.jpg","","","preprint","","2026","Computer Vision & Imaging, Clinical AI & Deep Learning","Adnan Ibney Faruq ; Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain","","image:/images/research_1.jpg","false","999","Under review — WACV 2026","","false","",""
"9","MedCAR: Conflict-Aware Multi-Agent Reasoning for Multimodal Clinical AI","/images/research_1.jpg","","","published","","2025","Clinical AI & Deep Learning, LLMs & Multi-Agent","Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Niloy Kumar Mondal ; Mohammad Ninad Mahmud Nobo ; Abrar Zahin Raihan ; Sheikh Azizul Hakim","video:https://youtu.be/jyerIT_txG0?si=9RaI6rVtJXlwX0CI","image:/images/research_1.jpg ; youtube:https://youtu.be/jyerIT_txG0?si=9RaI6rVtJXlwX0CI","true","5","Intl Conf on AI in Healthcare 2025","","true","https://youtu.be/jyerIT_txG0?si=9RaI6rVtJXlwX0CI",""
"10","DocTalkBN: A Novel Dataset of Expert Telemedicine Conversations in Bengali","/images/research_1.jpg","","","preprint","","2026","Clinical NLP & LLMs, Clinical AI & Deep Learning","Mst. Fahmida Sultana Naznin|https://github.com/fahmidahossain ; Anik Saha ; Sadatul Islam Sadi ; Ananya Shahrin Promi ; Wahid Al Azad Navid ; Rifat Shahriyar","code:https://anonymous.4open.science/r/doctalk","image:/images/research_1.jpg","false","999","Under review — ACL ARR (March 2026)","","false","",""
