"id","category","subcategory","name","proficiency","is_primary","icon","display_order","tags"
"dom_1","Domains","Artificial Intelligence","Artificial Intelligence","Deep Learning · ML · NLP","true","Brain","1","Python,PyTorch,TensorFlow,Keras,Geomstats"
"dom_2","Domains","Computer Vision","Computer Vision","Medical AI · 3D Vision · Geometry","true","Eye","2","Python,OpenCV,OpenGL,PyTorch3D,Three.js"
"dom_3","Domains","Spatial Computing","Spatial Computing","Unity · AR/VR · 3D Rendering","true","Box","3","C#,Unity,Blender,Vuforia,AR.js"
"dom_4","Domains","Robotics & Hardware","Robotics & Hardware","Autonomous Systems · SLAM · IoT","true","Cpu","4","C++,C,Arduino,Shell,SLAM"
"dom_5","Domains","Software Systems","Software Systems","Full-Stack · Cloud · Architecture","true","Server","5","Django,Firebase,REST APIs,NuGet,Chrome Engine"
"lang_1","Languages","PROGRAMMING LANGUAGES","Python","90","true","Code2","1",""
"lang_2","Languages","PROGRAMMING LANGUAGES","C++","85","true","Code2","2",""
"lang_3","Languages","PROGRAMMING LANGUAGES","C#","85","true","Code2","3",""
"lang_4","Languages","PROGRAMMING LANGUAGES","MATLAB","80","false","Code2","4",""
"lang_5","Languages","PROGRAMMING LANGUAGES","C","80","false","Code2","5",""
"lang_6","Languages","PROGRAMMING LANGUAGES","Java","80","false","Code2","6",""
"lang_7","Languages","PROGRAMMING LANGUAGES","Shell","75","false","Terminal","7",""
"frame_1","Frameworks","AI & MACHINE LEARNING","PyTorch","Machine Learning","true","Cpu","1",""
"frame_2","Frameworks","AI & MACHINE LEARNING","TensorFlow","ML Framework","true","Cpu","2",""
"frame_3","Frameworks","AI & MACHINE LEARNING","Keras","Deep Learning","false","Cpu","3",""
"frame_4","Frameworks","AI & MACHINE LEARNING","Geomstats","Statistics","false","Cpu","4",""
"frame_5","Frameworks","COMPUTER VISION & GRAPHICS","OpenCV","Computer Vision","true","Layers","5",""
"frame_6","Frameworks","COMPUTER VISION & GRAPHICS","PyTorch3D","3D Vision","true","Layers","6",""
"frame_7","Frameworks","COMPUTER VISION & GRAPHICS","OpenGL","Graphics","false","Layers","7",""
"frame_8","Frameworks","COMPUTER VISION & GRAPHICS","Three.js","Web 3D","false","Layers","8",""
"frame_9","Frameworks","COMPUTER VISION & GRAPHICS","AR.js","Augmented Reality","false","Layers","9",""
"tool_1","Tools","3D ENGINES & SPATIAL TOOLS","Unity","Game Engine","true","Box","1",""
"tool_2","Tools","3D ENGINES & SPATIAL TOOLS","Blender","3D Modeling","true","Box","2",""
"tool_3","Tools","3D ENGINES & SPATIAL TOOLS","Vuforia","AR Tool","false","Box","3",""
"tool_4","Tools","WEB, CLOUD & EMBEDDED","Django","Web Framework","true","Globe","4",""
"tool_5","Tools","WEB, CLOUD & EMBEDDED","Firebase","Backend Service","false","Database","5",""
"tool_6","Tools","WEB, CLOUD & EMBEDDED","Arduino","Embedded","true","Cpu","6",""
"tool_7","Tools","WEB, CLOUD & EMBEDDED","Android Studio","IDE","false","Globe","7",""
"tool_8","Tools","WEB, CLOUD & EMBEDDED","NuGet","Package Manager","false","Globe","8",""
"tool_9","Tools","WEB, CLOUD & EMBEDDED","Chrome Engine","Browser Engine","false","Globe","9",""
